work,tlg,book,n,text,text_clean,source
The Taking of Ilios,tlg001,1,23,ἀλλὰ καὶ ἀλλοθρόοις ἐπὶ πένθεσι κωκύοντες,ἀλλὰ καὶ ἀλλοθρόοις ἐπὶ πένθεσι κωκύοντες,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,24,δάκρυσιν ἠμείβοντο πολυγλώσσων ἐπικούρων.,δάκρυσιν ἠμείβοντο πολυγλώσσων ἐπικούρων.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,25,"κλαῖον μὲν Λύκιοι Σαρπηδόνα, τόν ποτε μήτηρ","κλαῖον μὲν Λύκιοι Σαρπηδόνα, τόν ποτε μήτηρ",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,26,"ἐς Τροίην μὲν ἔπεμψεν ἀγαλλομένη Διὸς εὐνῇ,","ἐς Τροίην μὲν ἔπεμψεν ἀγαλλομένη Διὸς εὐνῇ,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,27,δουρὶ δὲ Πατρόκλοιο Μενοιτιάδαο πεσόντα,δουρὶ δὲ Πατρόκλοιο Μενοιτιάδαο πεσόντα,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,28,αἵματι δακρύσας ἐχύθη πατρώιος ἀήρ.,αἵματι δακρύσας ἐχύθη πατρώιος ἀήρ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,29,καὶ δολίην ὑπὸ νύκτα κακῷ πεπεδημένον ὕπνῳ,καὶ δολίην ὑπὸ νύκτα κακῷ πεπεδημένον ὕπνῳ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,30,Ῥῆσον μὲν Θρήικες ἐκώκυον· ἡ δʼ ἐπὶ πότμῳ,Ῥῆσον μὲν Θρήικες ἐκώκυον· ἡ δ’ ἐπὶ πότμῳ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,31,Μέμνονος οὐρανίην νεφέλην ἀνεδήσατο μήτηρ,Μέμνονος οὐρανίην νεφέλην ἀνεδήσατο μήτηρ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,32,φέγγος ὑποκλέψασα κατηφέος ἤματος Ἠώς.,φέγγος ὑποκλέψασα κατηφέος ἤματος Ἠώς.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,33,αἱ δʼ ἀπὸ Θερμώδοντος ἀρηιφίλοιο γυναῖκες,αἱ δ’ ἀπὸ Θερμώδοντος ἀρηιφίλοιο γυναῖκες,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,34,κοπτόμεναι περίκυκλον ἀθηλέος ὄμφακα μαζοῦ,κοπτόμεναι περίκυκλον ἀθηλέος ὄμφακα μαζοῦ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,35,"παρθένον ὠδύροντο δαΐφρονα Πενθεσίλειαν,","παρθένον ὠδύροντο δαΐφρονα Πενθεσίλειαν,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,36,ἥτε πολυξείνοιο χορὸν πολέμοιο μολοῦσα,ἥτε πολυξείνοιο χορὸν πολέμοιο μολοῦσα,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,37,θηλείης ὑπὸ χειρὸς ἀπεσκέδασεν νέφος ἀνδρῶν,θηλείης ὑπὸ χειρὸς ἀπεσκέδασεν νέφος ἀνδρῶν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,38,νῆας ἐς ἀγχιάλους· μελίῃ δέ ἑ μοῦνος ὑποστὰς,νῆας ἐς ἀγχιάλους· μελίῃ δέ ἑ μοῦνος ὑποστὰς,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,39,καὶ κτάνε καὶ σύλησε καὶ ἐκτερέιξεν Ἀχιλλεύς.,καὶ κτάνε καὶ σύλησε καὶ ἐκτερέιξεν Ἀχιλλεύς.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,40,εἱστήκει δʼ ἔτι πᾶσα θεοδμήτων ὑπὸ πύργων,εἱστήκει δ’ ἔτι πᾶσα θεοδμήτων ὑπὸ πύργων,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,41,"Ἴλιος ἀκλινέεσσιν ἐπεμβεβαυῖα θεμέθλοις,","Ἴλιος ἀκλινέεσσιν ἐπεμβεβαυῖα θεμέθλοις,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,42,ἀμβολίῃ δʼ ἤσχαλλε δυσαχθέι λαὸς Ἀχαιῶν.,ἀμβολίῃ δ’ ἤσχαλλε δυσαχθέι λαὸς Ἀχαιῶν.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,43,καί νύ κεν ὑστατίοισιν ἐποκνήσασα πόνοισιν,καί νύ κεν ὑστατίοισιν ἐποκνήσασα πόνοισιν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,44,"ἀκάματός περ ἐοῦσα μάτην ἵδρωσεν Ἀθήνη,","ἀκάματός περ ἐοῦσα μάτην ἵδρωσεν Ἀθήνη,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,45,εἰ μὴ Δηιφόβοιο γαμοκλόπον ὕβριν ἐάσας,εἰ μὴ Δηιφόβοιο γαμοκλόπον ὕβριν ἐάσας,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,46,"Ἰλιόθεν Δαναοῖσιν ἐπὶ ξένος ἤλυθε μάντις,","Ἰλιόθεν Δαναοῖσιν ἐπὶ ξένος ἤλυθε μάντις,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,47,οἷα δέ που μογέοντι χαριζόμενος Μενελάῳ,οἷα δέ που μογέοντι χαριζόμενος Μενελάῳ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,48,ὀψιτέλεστον ὄλεθρον ἑῇ μαντεύσατο πάτρῃ.,ὀψιτέλεστον ὄλεθρον ἑῇ μαντεύσατο πάτρῃ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,49,οἱ δὲ βαρυζήλοιο θεοπροπίῃς Ἑλένοιο,οἱ δὲ βαρυζήλοιο θεοπροπίῃς Ἑλένοιο,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,50,αὐτίκα μηκεδανοῖο μόθου τέλος ἠρτύναντο.,αὐτίκα μηκεδανοῖο μόθου τέλος ἠρτύναντο.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,51,καὶ Σκῦρον μὲν ἔβαινε λιπὼν εὐπάρθενον ἄστυ,καὶ Σκῦρον μὲν ἔβαινε λιπὼν εὐπάρθενον ἄστυ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,52,υἱὸς Ἀχιλλῆος καὶ ἐπαινῆς Δηιδαμείης·,υἱὸς Ἀχιλλῆος καὶ ἐπαινῆς Δηιδαμείης·,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,53,μήπω δʼ εὐφυέεσσιν ἰουλίζων κροτάφοισιν,μήπω δ’ εὐφυέεσσιν ἰουλίζων κροτάφοισιν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,54,ἀλκὴν πατρὸς ἔφαινε νέος περ ἐὼν πολεμιστής.,ἀλκὴν πατρὸς ἔφαινε νέος περ ἐὼν πολεμιστής.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,55,ἦλθε δὲ καὶ Δαναοῖσιν ἑὸν βρέτας ἁγνὸν ἄγουσα,ἦλθε δὲ καὶ Δαναοῖσιν ἑὸν βρέτας ἁγνὸν ἄγουσα,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,56,"ληιστὴ μὲν ἐοῦσα, φίλοις δʼ ἐπίκουρος Ἀθήνη.","ληιστὴ μὲν ἐοῦσα, φίλοις δ’ ἐπίκουρος Ἀθήνη.",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,57,ἤδη καὶ βουλῇσι θεῆς ὑποεργὸς Ἐπειὸς,ἤδη καὶ βουλῇσι θεῆς ὑποεργὸς Ἐπειὸς,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,58,Τροίης ἐχθρὸν ἄγαλμα πελώριον ἵππον ἐποίει.,Τροίης ἐχθρὸν ἄγαλμα πελώριον ἵππον ἐποίει.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,59,καὶ δὴ τέμνετο δοῦρα καὶ ἐς πεδίον κατέβαινεν,καὶ δὴ τέμνετο δοῦρα καὶ ἐς πεδίον κατέβαινεν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,60,"Ἴδης ἐξ αὐτῆς, ὁπόθεν καὶ πρόσθε Φέρεκλος","Ἴδης ἐξ αὐτῆς, ὁπόθεν καὶ πρόσθε Φέρεκλος",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,61,"νῆας Ἀλεξάνδρῳ τεκτήνατο, πήματος ἀρχήν.","νῆας Ἀλεξάνδρῳ τεκτήνατο, πήματος ἀρχήν.",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,62,ποίει δʼ εὐρυτάτῃς μὲν ἐπὶ πλευρῇς ἀραρυῖαν,ποίει δ’ εὐρυτάτῃς μὲν ἐπὶ πλευρῇς ἀραρυῖαν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,63,"γαστέρα κοιλήνας, ὁπόσον νεὸς ἀμφιελίσσης","γαστέρα κοιλήνας, ὁπόσον νεὸς ἀμφιελίσσης",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,64,ὀρθὸν ἐπὶ στάθμην μέγεθος τορνώσατο τέκτων.,ὀρθὸν ἐπὶ στάθμην μέγεθος τορνώσατο τέκτων.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,65,αὐχένα δὲ γλαφυροῖσιν ἐπὶ στήθεσσιν ἔπηξε,αὐχένα δὲ γλαφυροῖσιν ἐπὶ στήθεσσιν ἔπηξε,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,66,ξανθῷ πορφυρόπεζαν ἐπιρρήνας τρίχα χρυσῷ·,ξανθῷ πορφυρόπεζαν ἐπιρρήνας τρίχα χρυσῷ·,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,67,ἡ δʼ ἐπικυμαίνουσα μετήορος αὐχένι κυρτῷ,ἡ δ’ ἐπικυμαίνουσα μετήορος αὐχένι κυρτῷ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,68,ἐκ κορυφῆς λοφόεντι κατεσφρηγίζετο δεσμῷ.,ἐκ κορυφῆς λοφόεντι κατεσφρηγίζετο δεσμῷ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,69,ὀφθαλμοὺς δʼ ἐνέθηκε λιθώπεας ἐν δυσὶ κύκλοις,ὀφθαλμοὺς δ’ ἐνέθηκε λιθώπεας ἐν δυσὶ κύκλοις,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,70,γλαυκῆς βηρύλλοιο καὶ αἱμαλέης ἀμεθύσσου·,γλαυκῆς βηρύλλοιο καὶ αἱμαλέης ἀμεθύσσου·,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,71,τῶν δʼ ἐπιμισγομένων διδύμης ἀμαρύγματι χροιῆς,τῶν δ’ ἐπιμισγομένων διδύμης ἀμαρύγματι χροιῆς,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,72,γλαυκῶν φοινίσσοντο λίθων ἑλίκεσσιν ὀπωπαί.,γλαυκῶν φοινίσσοντο λίθων ἑλίκεσσιν ὀπωπαί.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,73,ἀργυφέους δʼ ἐχάραξεν ἐπὶ γναθμοῖσιν ὀδόντας,ἀργυφέους δ’ ἐχάραξεν ἐπὶ γναθμοῖσιν ὀδόντας,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,74,ἄκρα δακεῖν σπεύδοντας ἐυστρέπτοιο χαλινοῦ·,ἄκρα δακεῖν σπεύδοντας ἐυστρέπτοιο χαλινοῦ·,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,75,καὶ στόματος μεγάλοιο λαθὼν ἀνέῳξε κελεύθους,καὶ στόματος μεγάλοιο λαθὼν ἀνέῳξε κελεύθους,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,76,"ἀνδράσι κευθομένοισι παλίρροον ἆσθμα φυλάσσων,","ἀνδράσι κευθομένοισι παλίρροον ἆσθμα φυλάσσων,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,77,καὶ διὰ μυκτήρων φυσίζοος ἔρρεεν ἀήρ.,καὶ διὰ μυκτήρων φυσίζοος ἔρρεεν ἀήρ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,78,οὔατα δʼ ἀκροτάτοισιν ἐπὶ κροτάφοισιν ἄρηρεν,οὔατα δ’ ἀκροτάτοισιν ἐπὶ κροτάφοισιν ἄρηρεν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,79,"ὀρθὰ μάλʼ, αἰὲν ἑτοῖμα μένειν σάλπιγγος ἀκουήν.","ὀρθὰ μάλ’, αἰὲν ἑτοῖμα μένειν σάλπιγγος ἀκουήν.",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,80,"νῶτα δʼ ὁμοῦ λαγόνεσσι συνήρμοσε καὶ ῥάχιν ὑγρήν,","νῶτα δ’ ὁμοῦ λαγόνεσσι συνήρμοσε καὶ ῥάχιν ὑγρήν,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,81,ἰσχία δὲ γλουτοῖσιν ὀλισθηροῖσι συνῆψε.,ἰσχία δὲ γλουτοῖσιν ὀλισθηροῖσι συνῆψε.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,82,σύρετο δὲ πρυμνοῖσιν ἐπʼ ἴχνεσιν ἔκλυτος οὐρὴ,σύρετο δὲ πρυμνοῖσιν ἐπ’ ἴχνεσιν ἔκλυτος οὐρὴ,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,83,ἄμπελος ὣς γναμπτοῖσι καθελκομένη θυσάνοισιν.,ἄμπελος ὣς γναμπτοῖσι καθελκομένη θυσάνοισιν.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,84,οἱ δὲ πόδες βαλίοισιν ἐπερχόμενοι γονάτεσσιν,οἱ δὲ πόδες βαλίοισιν ἐπερχόμενοι γονάτεσσιν,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,85,"εὔπτερον ὥσπερ ἔμελλον ἐπὶ δρόμον ὁπλίζεσθαι,","εὔπτερον ὥσπερ ἔμελλον ἐπὶ δρόμον ὁπλίζεσθαι,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,86,οὕτως ἠπείγοντο· μένειν δʼ ἐκέλευεν ἀνάγκη.,οὕτως ἠπείγοντο· μένειν δ’ ἐκέλευεν ἀνάγκη.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,87,"οὐ μὲν ὑπὸ κνήμῃσιν ἀχαλκέες ἔξεχον ὁπλαί,","οὐ μὲν ὑπὸ κνήμῃσιν ἀχαλκέες ἔξεχον ὁπλαί,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,88,μαρμαρέης δʼ ἑλίκεσσι κατεσφήκωντο χελώνης,μαρμαρέης δ’ ἑλίκεσσι κατεσφήκωντο χελώνης,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,89,ἁπτόμεναι πεδίοιο μόγις κρατερώνυχι χαλκῷ.,ἁπτόμεναι πεδίοιο μόγις κρατερώνυχι χαλκῷ.,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,90,"κληιστὴν δʼ ἐνέθηκε θύρην καὶ κλίμακα τυκτήν,","κληιστὴν δ’ ἐνέθηκε θύρην καὶ κλίμακα τυκτήν,",tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,91,ἡ μὲν ὅπως ἀίδηλος ἐπὶ πλευρῇς ἀραρυῖα,ἡ μὲν ὅπως ἀίδηλος ἐπὶ πλευρῇς ἀραρυῖα,tlg0647.tlg001.perseus-grc2.xml
The Taking of Ilios,tlg001,1,92,"ἔνθα καὶ ἔνθα φέρῃσι λόχον κλυτόπωλον Ἀχαιῶν,","ἔνθα καὶ ἔνθα φέρῃσι λόχον κλυτόπωλον Ἀχαιῶν,",tlg0647.tlg001.perseus-grc2.xml
