work,tlg,book,n,text,text_clean,source
Eros Drapeta,tlg001,1,24,"ἤν τύ γ’ ἕλῃς τῆνον, δήσας ἄγε μηδ’ ἐλεήσῃς.","ἤν τύ γ’ ἕλῃς τῆνον, δήσας ἄγε μηδ’ ἐλεήσῃς.",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,25,"κἢν ποτίδῃς κλαίοντα, φυλάσσεο μή σε πλανάσῃ.","κἢν ποτίδῃς κλαίοντα, φυλάσσεο μή σε πλανάσῃ.",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,26,"κἢν γελάῃ, τύ νιν ἕλκε. καὶ ἢν ἐθέλῃ σε φιλῆσαι,","κἢν γελάῃ, τύ νιν ἕλκε. καὶ ἢν ἐθέλῃ σε φιλῆσαι,",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,27,"φεῦγε· κακὸν τὸ φίλημα, τὰ χείλεα φάρμακον ἐντί.","φεῦγε· κακὸν τὸ φίλημα, τὰ χείλεα φάρμακον ἐντί.",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,28,"ἢν δὲ λέγῃ λάβε ταῦτα, χαρίζομαι ὅσσα μοι ὅπλα,","ἢν δὲ λέγῃ λάβε ταῦτα, χαρίζομαι ὅσσα μοι ὅπλα,",tlg0035.tlg001.perseus-grc2.xml
Eros Drapeta,tlg001,1,29,μὴ τὺ θίγῃς πλάνα δῶρα· τὰ γὰρ πυρὶ πάντα βέβαπται.’,μὴ τὺ θίγῃς πλάνα δῶρα· τὰ γὰρ πυρὶ πάντα βέβαπται.’,tlg0035.tlg001.perseus-grc2.xml
Europa,tlg002,1,1,"Εὐρώπῃ ποτὲ Κύπρις ἐπὶ γλυκὺν ἧκεν ὄνειρον,","Εὐρώπῃ ποτὲ Κύπρις ἐπὶ γλυκὺν ἧκεν ὄνειρον,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,2,"νυκτὸς ὅτε τρίτατον λάχος ἵσταται, ἐγγύθι δ’ ἠώς,","νυκτὸς ὅτε τρίτατον λάχος ἵσταται, ἐγγύθι δ’ ἠώς,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,3,ὕπνος ὅτε γλυκίων μέλιτος βλεφάροισιν ἐφίζων,ὕπνος ὅτε γλυκίων μέλιτος βλεφάροισιν ἐφίζων,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,4,"λυσιμελὴς πεδάᾳ μαλακῷ κατὰ φάεα δεσμῷ,","λυσιμελὴς πεδάᾳ μαλακῷ κατὰ φάεα δεσμῷ,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,5,εὖτε καὶ ἀτρεκέων ποιμαίνεται ἔθνος ὀνείρων·,εὖτε καὶ ἀτρεκέων ποιμαίνεται ἔθνος ὀνείρων·,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,6,τῆμος ὑπωροφίοισιν ἐνὶ κνώσσουσα δόμοισι,τῆμος ὑπωροφίοισιν ἐνὶ κνώσσουσα δόμοισι,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,7,Φοίνικος θυγάτηρ ἔτι παρθένος Εὐρώπεια,Φοίνικος θυγάτηρ ἔτι παρθένος Εὐρώπεια,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,8,"ὠίσατ’ ἠπείρους δοιὰς περὶ εἷο μάχεσθαι,","ὠίσατ’ ἠπείρους δοιὰς περὶ εἷο μάχεσθαι,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,9,ἄσσιον ἀντιπέρην τε· φυὴν δ’ ἔχον οἷα γυναῖκες.,ἄσσιον ἀντιπέρην τε· φυὴν δ’ ἔχον οἷα γυναῖκες.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,10,"τῶν δ’ ἣ μὲν ξείνης μορφὴν ἔχεν, ἣ δ’ ἄρ’ ἐῴκει","τῶν δ’ ἣ μὲν ξείνης μορφὴν ἔχεν, ἣ δ’ ἄρ’ ἐῴκει",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,11,"ἐνδαπίῃ, καὶ μᾶλλον ἑῆς περιίσχετο κούρης,","ἐνδαπίῃ, καὶ μᾶλλον ἑῆς περιίσχετο κούρης,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,12,φάσκεν δ’ ὥς μιν ἔτικτε καὶ ὡς ἀτίτηλέ μιν αὐτή.,φάσκεν δ’ ὥς μιν ἔτικτε καὶ ὡς ἀτίτηλέ μιν αὐτή.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,13,ἡ δ’ ἑτέρη κρατερῇσι βιωομένη παλάμῃσιν,ἡ δ’ ἑτέρη κρατερῇσι βιωομένη παλάμῃσιν,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,14,"εἴρυεν οὐκ ἀέκουσαν, ἐπεὶ φάτο μόρσιμον εἷο","εἴρυεν οὐκ ἀέκουσαν, ἐπεὶ φάτο μόρσιμον εἷο",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,15,ἐκ Διὸς αἰγιόχου γέρας ἔμμεναι Εὐρώπειαν.,ἐκ Διὸς αἰγιόχου γέρας ἔμμεναι Εὐρώπειαν.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,16,"ἣ δ’ ἀπὸ μὲν στρωτῶν λεχέων θόρε δειμαίνουσα,","ἣ δ’ ἀπὸ μὲν στρωτῶν λεχέων θόρε δειμαίνουσα,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,17,παλλομένη κραδίην· τὸ γὰρ ὡς ὕπαρ εἶδεν ὄνειρον.,παλλομένη κραδίην· τὸ γὰρ ὡς ὕπαρ εἶδεν ὄνειρον.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,18,"ἑζομένη δ’ ἐπὶ δηρὸν ἀκὴν ἔχεν, ἀμφοτέρας δὲ","ἑζομένη δ’ ἐπὶ δηρὸν ἀκὴν ἔχεν, ἀμφοτέρας δὲ",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,19,εἰσέτι πεπταμένοισιν ἐν ὄμμασιν εἶχε γυναῖκας.,εἰσέτι πεπταμένοισιν ἐν ὄμμασιν εἶχε γυναῖκας.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,20,ὀψὲ δὲ δειμαλέην ἀνενείκατο παρθένον αὐδήν·,ὀψὲ δὲ δειμαλέην ἀνενείκατο παρθένον αὐδήν·,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,21,τίς μοι τοιάδε φάσματ’ ἐπουρανίων προΐηλεν;,τίς μοι τοιάδε φάσματ’ ἐπουρανίων προΐηλεν;,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,22,ποῖοί με στρωτῶν λεχέων ὕπερ ἐν θαλάμοισιν,ποῖοί με στρωτῶν λεχέων ὕπερ ἐν θαλάμοισιν,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,23,"ἡδὺ μάλα κνώσσουσαν ἀνεπτοίησαν ὄνειροι,","ἡδὺ μάλα κνώσσουσαν ἀνεπτοίησαν ὄνειροι,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,24,"τίς δ’ ἦν ἡ ξείνη, τὴν εἴσιδον ὑπνώουσα;","τίς δ’ ἦν ἡ ξείνη, τὴν εἴσιδον ὑπνώουσα;",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,25,"ὥς μ’ ἔλαβε κραδίην κείνης πόθος, ὥς με καὶ αὐτὴ","ὥς μ’ ἔλαβε κραδίην κείνης πόθος, ὥς με καὶ αὐτὴ",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,26,ἀσπασίως ὑπέδεκτο καὶ ὡς σφετέρην ἴδε παῖδα.,ἀσπασίως ὑπέδεκτο καὶ ὡς σφετέρην ἴδε παῖδα.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,27,ἀλλά μοι εἰς ἀγαθὸν μάκαρες κρήνειαν ὄνειρον.,ἀλλά μοι εἰς ἀγαθὸν μάκαρες κρήνειαν ὄνειρον.,tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,28,"ὣς εἰποῦσ’ ἀνόρουσε, φίλας δ’ ἐπεδίζεθ’ ἑταίρας","ὣς εἰποῦσ’ ἀνόρουσε, φίλας δ’ ἐπεδίζεθ’ ἑταίρας",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,29,"ἥλικας οἰέτεας θυμήρεας εὐπατερείας,","ἥλικας οἰέτεας θυμήρεας εὐπατερείας,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,30,"τῇσιν ἀεὶ συνάθυρεν, ὅτ’ ἐς χορὸν ἐντύνοιτο,","τῇσιν ἀεὶ συνάθυρεν, ὅτ’ ἐς χορὸν ἐντύνοιτο,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,31,"ἢ ὅτε φαιδρύνοιτο χρόα προχοῇσιν ἀναύρων,","ἢ ὅτε φαιδρύνοιτο χρόα προχοῇσιν ἀναύρων,",tlg0035.tlg002.perseus-grc2.xml
Europa,tlg002,1,32,ἢ ὁπότ’ ἐκ λειμῶνος ἐΰπνοα λείρἰ ἀμέργοι.,ἢ ὁπότ’ ἐκ λειμῶνος ἐΰπνοα λείρἰ ἀμέργοι.,tlg0035.tlg002.perseus-grc2.xml
