word,nucleus,length
γηρυονῆα,4,S
γηρυονῆι,4,S
γλάφυ,1,S
γλαυκῶπιν,2,S
γλυκερή,0,S
γλυκερὴν,0,S
γλῶσσαν,1,S
γναμπτάς,1,L
γονεῦσιν,2,S
γονόεσσαν,3,S
γονῆα,2,S
γοργυθίωνα,4,S
γουνάζεο,1,S
γουνάζομαι,1,S
γουναζέσθην,1,S
γουνοῖσιν,2,S
γούναθ̓,1,S
γούνατ̓,1,S
γρήνικόν,1,L
γραῖάν,1,S
γυάλοις,0,S
γυάλοις,1,S
γυναιξὶ,2,S
γυναιξὶν,2,S
γυναῖκ̓,0,S
γυναῖχ̓,0,S
γόμφοισιν,2,S
γύπεσσιν,2,S
γῆράς,1,S
δάκεν,0,S
δάκρὐ,1,S
δάμαρτι,1,L
δάμαρτι,2,S
δάμασ̓,0,S
δάμασ̓,1,S
δάμασεν,0,S
δάμασεν,1,S
δάμασσ̓,0,S
δάμασσ̓,1,S
δάμασσαν,1,S
δάμασσαν,2,S
δάμασσας,1,S
δάμασσας,2,S
δάμασσε,1,S
δάμασσεν,1,S
δάμασσον,1,S
δάμνασθαι,1,S
δάμναται,1,S
δάπτουσιν,2,S
δάσσαντο,0,S
δάσσασθαι,0,S
δέμνια,1,S
δέμνια,2,S
δέξασθαι,1,S
δέπασσιν,1,S
δέπασσιν,2,S
δέρματα,1,S
δέρματα,2,S
δήμητρα,2,S
δήσαντες,1,S
δήσασθαι,1,S
δί̓,0,S
δίδωσιν,0,S
δίδωσιν,2,S
δίεπ̓,0,S
δίη,0,L
δίκαζον,1,S
δίκαια,0,S
δίκαια,2,S
δίκαιον,0,S
δίκαιος,0,S
δίκας,0,S
δίκασσαι,0,S
δίκασσαι,1,S
δίκαἰ,0,S
δίκη,0,S
δίκῃς,0,S
δίκῃσιν,0,S
δίκῃσιν,2,S
δίνῃς,0,L
δίσκοισιν,2,S
δίχ̓,0,S
δίψαν,1,S
δαιδάλεα,3,S
δαιδαλέοισι,4,S
δαιδαλέοισιν,4,S
δαιμόνἰ,2,S
δαιτί,1,S
δακρυόεντα,4,S
δακρύσαντας,2,L
δαλοῖο,0,L
δαμάσθη,1,S
δαμάσσας,0,S
δαμάσσας,1,S
δαμάσσας,2,S
δαμάσσατο,1,S
δαμάσσεται,1,S
δαμάσσομεν,1,S
δαμάσσω,1,S
δαμάσσῃ,1,S
δαμέντ̓,0,S
δαμέντα,2,S
δαμέντας,2,S
δαμέντι,2,S
δαμαζόμενος,0,S
δαμαζόμενος,1,S
δαμασθείς,1,S
δαμασθεὶς,1,S
δαμασσάμενοί,1,S
δαναΐδης,2,S
δαρδάπτουσιν,3,S
δασσάμενος,0,S
δατέασθαι,0,S
δαφοιναί,0,S
δαῖτας,1,S
δείδοικας,2,S
δείελα,2,S
δείκνυ,1,S
δείκνυε,1,S
δείσαντας,1,L
δείσαντε,1,L
δεδάκρυνται,2,L
δειδιότα,3,L
δεικνύει,1,S
δεικνὺς,1,S
δεινοῖσι,2,S
δεινότατοι,2,S
δεινότατος,2,S
δειπνήσας,2,L
δειροτομήσας,4,L
δεκάκις,2,S
δελφῖνες,1,L
δεξί̓,1,S
δεξιτερῆφι,4,S
δεπάεσσι,3,S
δεπάεσσιν,3,S
δερκομένοισι,4,S
δερκομενάων,3,L
δεσμοῖσιν,2,S
δεῖσαν,1,L
δηΐοιο,1,S
δηΐοισι,1,S
δηΐοισι,3,S
δηΐοισιν,1,S
δηΐοισιν,3,S
δηΐους,1,S
δηΐφοβ̓,1,S
δηΐων,1,S
δηθύνοντ̓,1,L
δηιοτῆτος,1,S
δηιώσειν,1,S
δημήτερί,3,S
δημοκόωντα,4,S
δημολέοντα,4,S
δηρινθήτην,1,S
δησάσκετο,1,S
δηϊκόωντα,4,S
δηϊοτῆτα,4,S
δηϊοτῆτι,4,S
διάησι,3,S
διάησιν,3,S
διάκτορον,0,S
διέκριναν,3,S
διέπουσ̓,0,S
διέστησαν,3,S
διίξομαι,1,L
διαβὰς,0,S
διαβὰς,1,S
διαβὰς,2,L
διαβῇ,0,S
διαβῇ,1,S
διαγνῶναι,1,S
διακρίνοντα,0,S
διακρίνοντα,2,L
διακρίνοντα,4,S
διακρινθέντας,2,L
διακρινθέντε,2,L
διακρινθήμεναι,2,L
διακρινθεῖτε,2,L
διακρινώμεθα,0,S
διακρινώμεθα,2,L
διακρινώμεθα,5,S
διαπορθήσας,4,L
διαπραθέειν,1,S
διασκιδνᾶσί,0,S
διασκιδνᾶσί,3,L
διασκιδνᾶσί,4,S
διατμήξας,3,L
διατρίψας,2,L
διδάξῃς,0,S
διδασκῆσαι,0,S
διδοῦσι,0,S
διδοῦσι,2,S
διεδάσσαο,3,S
διεδάσσατο,3,S
διηνεκέεσσ̓,0,S
διηνεκέεσσιν,0,S
διηνεκέεσσιν,5,S
διηνεκέσιν,4,S
διηνεκέως,0,S
δικάσσατε,1,S
δικέων,0,S
δικαίου,0,S
δικαίων,0,S
δικαζέμεν,1,S
δικαζέτω,1,S
δικαιότερον,0,S
δινήεντας,0,L
δινήεντας,3,S
δινήεντι,3,S
δινήσας,2,L
δινεύεσκ̓,0,L
διομήδἐ,0,S
διοπτῆρα,3,S
διφῶσα,0,L
διφῶσα,2,S
διχθάδἰ,1,S
διχθάδἰ,2,S
διχθαδίας,3,L
διωνύσου,0,S
διωνύσου,2,L
διώνην,0,S
δμηθεῖσα,2,S
δμωσὶ,1,S
δμώεσσι,2,S
δμῆσίν,1,S
δμῶάς,1,S
δμῶας,1,S
δνοφερῇσι,3,S
δοκεύσας,2,L
δολίην,1,S
δολίης,1,S
δολίχ̓,1,S
δολίῃ,1,S
δονέουσι,3,S
δονήσας,2,L
δονακῆα,3,S
δούρατ̓,1,S
δράκοντε,0,S
δράκοντος,0,S
δράκουσιν,0,S
δράκουσιν,2,S
δρέψασαι,1,L
δρία,0,S
δρία,1,S
δριμεῖαν,0,L
δριμεῖαν,2,S
δριμὺ,0,L
δριμὺ,1,S
δριμὺς,1,S
δρύαλόν,1,S
δρῦν,0,S
δυνάμι,0,S
δυνάμι,1,S
δυνάμι,2,S
δυνάσθη,1,S
δυσαίατ̓,0,L
δυσαριστοτόκεια,6,S
δυσηλεγέες,0,S
δυσκέλαδος,2,S
δυσμενέας,3,S
δυσμενέσιν,3,S
δυσνομίην,2,S
δυσομενάων,0,L
δυσφροσυνάων,3,L
δυσωνύμου,0,S
δυσωνύμου,2,S
δυωκαιεικοσίπηχυ,7,S
δυώδεκ̓,0,S
δωρίδος,1,S
δωρίς,1,S
δωρὶς,1,S
δόλοπα,2,S
δόμοισι,2,S
δόνακας,2,S
δόναξ,1,S
δόσιν,1,S
δότειρα,2,S
δύ̓,0,S
δύναμ̓,0,S
δύναμ̓,1,S
δύναμίς,2,S
δύναμιν,2,S
δύνανται,1,S
δύναντο,1,S
δύνατ̓,0,S
δύνατ̓,1,S
δύντα,0,L
δύνωσιν,0,L
δύνωσιν,2,S
δύσεθ̓,0,L
δύσειν,0,L
δύσετ̓,0,L
δύσκεν,0,L
δώμαθ̓,1,S
δώμασ̓,1,S
δώμασι,1,S
δώμασι,2,S
δώματ̓,1,S
δώματά,1,S
δώματά,2,S
δώροισίν,2,S
δώωσι,2,S
δἰ,0,S
δὶς,0,S
δῃώσαντε,2,L
δῃώσαντες,2,L
δῖ̓,0,L
δῦθι,1,S
δῦν̓,0,L
δῶκαν,1,S
εσπερίδων,2,S
εἰαρινοῖσιν,4,S
εἰαρινὸς,1,S
εἰαρινὸς,2,S
εἰαρινῇσιν,4,S
εἰκάδα,1,S
εἰκάδα,2,S
εἰκάδι,1,S
εἰκάδι,2,S
εἰκοσάκις,3,S
εἰλήλουθα,3,S
εἰλήλουθας,3,S
εἰλατίνοισιν,4,S
εἰλείθυια,3,S
εἰλείθυιαν,3,S
εἰλιπόδων,1,S
εἰλυφόων,1,L
εἰλυφόωντες,1,L
εἰλύφαζε,1,L
εἰνὰς,1,S
εἰνὶ,1,S
εἰρέτριάν,3,S
εἰρύατ̓,1,S
εἰρύατ̓,2,S
εἰρύαται,1,S
εἰρύμεναι,1,S
εἰρύσαθ̓,1,S
εἰρύσαθ̓,2,S
εἰρύσατ̓,1,S
εἰρύσατ̓,2,S
εἰρύσσαισθε,1,S
εἰρύσσαιτο,1,S
εἰρύσσασθαι,1,S
εἰρύσσασθαι,2,S
εἰρύσσατο,1,S
εἰρύσσονται,1,S
εἰσί,1,S
εἰσίν,1,S
εἰσανέβαινεν,1,S
εἰσαναβαίνων,1,S
εἰσαναβαίνων,2,S
εἰσαφίκανε,3,S
εἰσελθοῦσα,3,S
εἰσορόωντα,4,S
εἰσορόωντας,4,S
εἰσορόωντι,4,S
εἰσορόωσα,4,S
εἰσορόωσι,4,S
εἴας,1,L
εἴασκε,1,L
εἴασκον,1,L
εἴασχ̓,1,L
εἴδεΐ,2,S
εἴκελά,2,S
εἴκουσι,2,S
εἴνατος,1,S
εἴνατός,1,S
εἴξαντος,1,S
εἴπαθ̓,1,L
εἴπατε,1,L
εἴρας,1,L
εἴργουσι,2,S
εἴρυντο,1,S
εἴρυσσέν,1,S
εἴσαντο,1,S
εἴσιδεν,1,S
εἵαθ̓,1,S
εἵατ̓,1,S
εἵματ̓,1,S
εἶδαρ,1,S
εὐαέι,3,S
εὐθετίσας,2,L
εὐθετίσας,3,L
εὐκηλήτειρα,4,S
εὐνάς,1,L
εὐνηθεῖσα,3,S
