work,tlg,book,n,text,text_clean,source
The Rape of Helen,tlg001,1,27,τὸν δὲ μεθʼ ὡμάρτησε κασιγνήτη Διὸς Ἥρη.,τὸν δὲ μεθ’ ὡμάρτησε κασιγνήτη Διὸς Ἥρη.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,28,οὐδʼ αὐτὴ βασίλεια καὶ ἁρμονίης Ἀφροδίτη,οὐδ’ αὐτὴ βασίλεια καὶ ἁρμονίης Ἀφροδίτη,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,29,ἐρχομένη δήθυνεν ἐς ἄλσεα Κενταύροιο.,ἐρχομένη δήθυνεν ἐς ἄλσεα Κενταύροιο.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,30,"καὶ στέφος ἀσκήσασα γαμήλιον ἤλυθε Πειθώ,","καὶ στέφος ἀσκήσασα γαμήλιον ἤλυθε Πειθώ,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,31,τοξευτῆρος Ἔρωτος ἐλαφρίζουσα φαρέτρην.,τοξευτῆρος Ἔρωτος ἐλαφρίζουσα φαρέτρην.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,32,καὶ βριαρὴν τρυφάλειαν ἀπὸ κροτάφοιο μεθεῖσα,καὶ βριαρὴν τρυφάλειαν ἀπὸ κροτάφοιο μεθεῖσα,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,33,ἐς γάμον ὡμάρτησε γάμων ἀδίδακτος Ἀθήνη.,ἐς γάμον ὡμάρτησε γάμων ἀδίδακτος Ἀθήνη.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,34,οὐδὲ κασιγνήτη Λητωιὰς Ἀπόλλωνος,οὐδὲ κασιγνήτη Λητωιὰς Ἀπόλλωνος,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,35,Ἄρτεμις ἠτίμησε καὶ ἀγροτέρη περ ἐοῦσα.,Ἄρτεμις ἠτίμησε καὶ ἀγροτέρη περ ἐοῦσα.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,36,"οἷος δʼ οὐ κυνέην, οὐ δήιον ἔγχος ἀείρων","οἷος δ’ οὐ κυνέην, οὐ δήιον ἔγχος ἀείρων",tlg4081.tlg001.perseus-grc2.xml
